,SE UniICD,System,Description
14798,9:162W,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14799,9:162X,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14800,9:163,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14801,9:163A,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14802,9:163B,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14803,9:163W,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14804,9:163X,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14805,9:164,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14806,9:164A,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14807,9:164B,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14808,9:164C,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14809,9:164D,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14810,9:164W,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14811,9:164X,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14812,9:165,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14813,9:165A,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14814,9:165W,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14815,9:165X,Neoplasms,"Malignant neoplasms, respiratory system and intrathoracic organs"
14816,10:C76,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14817,10:C77,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14818,10:C78,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14819,10:C79,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14820,10:C80,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14821,8:195,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14822,"8:195,0",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14823,"8:195,1",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14824,"8:195,9",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14825,8:196,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14826,"8:196,0",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14827,"8:196,1",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14828,"8:196,2",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14829,"8:196,3",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14830,"8:196,4",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14831,"8:196,7",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14832,"8:196,8",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14833,"8:196,9",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14834,8:197,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14835,"8:197,0",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14836,"8:197,1",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14837,"8:197,2",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14838,"8:197,3",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14839,"8:197,4",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14840,"8:197,5",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14841,"8:197,6",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14842,"8:197,7",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14843,"8:197,9",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14844,8:198,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14845,"8:198,1",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14846,"8:198,2",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14847,"8:198,3",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14848,"8:198,4",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14849,"8:198,5",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14850,"8:198,9",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14851,8:199,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14852,"8:199,0",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14853,"8:199,1",Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14854,9:195,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14855,9:195A,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14856,9:195B,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14857,9:195C,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14858,9:195D,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14859,9:195E,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14860,9:195F,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14861,9:195W,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14862,9:196,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14863,9:196A,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14864,9:196B,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14865,9:196C,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14866,9:196D,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14867,9:196F,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14868,9:196G,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14869,9:196W,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14870,9:196X,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14871,9:197,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14872,9:197A,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14873,9:197B,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14874,9:197C,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14875,9:197D,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14876,9:197E,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14877,9:197F,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14878,9:197G,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14879,9:197H,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14880,9:197W,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14881,9:198,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14882,9:198A,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14883,9:198B,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14884,9:198C,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14885,9:198D,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14886,9:198E,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14887,9:198F,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14888,9:198G,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14889,9:198H,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14890,9:198W,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14891,9:199,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14892,9:199A,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14893,9:199B,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14894,9:199C,Neoplasms,"Malignant neoplasms, secondary and ill-defined"
14895,10:C43,Neoplasms,"Malignant neoplasms, skin"
14896,10:C44,Neoplasms,"Malignant neoplasms, skin"
14897,10:C4A,Neoplasms,"Malignant neoplasms, skin"
14898,8:151,Neoplasms,"Malignant neoplasms, skin"
14899,8:152,Neoplasms,"Malignant neoplasms, skin"
14900,8:153,Neoplasms,"Malignant neoplasms, skin"
14901,8:154,Neoplasms,"Malignant neoplasms, skin"
14902,8:155,Neoplasms,"Malignant neoplasms, skin"
14903,8:159,Neoplasms,"Malignant neoplasms, skin"
14904,8:162,Neoplasms,"Malignant neoplasms, skin"
14905,8:172,Neoplasms,"Malignant neoplasms, skin"
14906,"8:172,0",Neoplasms,"Malignant neoplasms, skin"
14907,"8:172,1",Neoplasms,"Malignant neoplasms, skin"
14908,"8:172,2",Neoplasms,"Malignant neoplasms, skin"
14909,"8:172,3",Neoplasms,"Malignant neoplasms, skin"
14910,"8:172,4",Neoplasms,"Malignant neoplasms, skin"
14911,"8:172,6",Neoplasms,"Malignant neoplasms, skin"
14912,"8:172,7",Neoplasms,"Malignant neoplasms, skin"
14913,"8:172,8",Neoplasms,"Malignant neoplasms, skin"
14914,"8:172,9",Neoplasms,"Malignant neoplasms, skin"
14915,8:173,Neoplasms,"Malignant neoplasms, skin"
14916,"8:173,0",Neoplasms,"Malignant neoplasms, skin"
14917,"8:173,1",Neoplasms,"Malignant neoplasms, skin"
14918,"8:173,2",Neoplasms,"Malignant neoplasms, skin"
14919,"8:173,3",Neoplasms,"Malignant neoplasms, skin"
14920,"8:173,4",Neoplasms,"Malignant neoplasms, skin"
14921,"8:173,6",Neoplasms,"Malignant neoplasms, skin"
14922,"8:173,7",Neoplasms,"Malignant neoplasms, skin"
14923,"8:173,8",Neoplasms,"Malignant neoplasms, skin"
14924,"8:173,9",Neoplasms,"Malignant neoplasms, skin"
14925,8:189,Neoplasms,"Malignant neoplasms, skin"
14926,8:194,Neoplasms,"Malignant neoplasms, skin"
14927,8:196,Neoplasms,"Malignant neoplasms, skin"
14928,8:197,Neoplasms,"Malignant neoplasms, skin"
14929,8:198,Neoplasms,"Malignant neoplasms, skin"
14930,8:199,Neoplasms,"Malignant neoplasms, skin"
14931,"8:199,1",Neoplasms,"Malignant neoplasms, skin"
14932,8:211,Neoplasms,"Malignant neoplasms, skin"
14933,8:212,Neoplasms,"Malignant neoplasms, skin"
14934,8:223,Neoplasms,"Malignant neoplasms, skin"
14935,8:226,Neoplasms,"Malignant neoplasms, skin"
14936,8:228,Neoplasms,"Malignant neoplasms, skin"
14937,9:172,Neoplasms,"Malignant neoplasms, skin"
14938,9:172A,Neoplasms,"Malignant neoplasms, skin"
14939,9:172B,Neoplasms,"Malignant neoplasms, skin"
14940,9:172C,Neoplasms,"Malignant neoplasms, skin"
14941,9:172D,Neoplasms,"Malignant neoplasms, skin"
14942,9:172E,Neoplasms,"Malignant neoplasms, skin"
14943,9:172F,Neoplasms,"Malignant neoplasms, skin"
14944,9:172G,Neoplasms,"Malignant neoplasms, skin"
14945,9:172H,Neoplasms,"Malignant neoplasms, skin"
14946,9:172W,Neoplasms,"Malignant neoplasms, skin"
14947,9:172X,Neoplasms,"Malignant neoplasms, skin"
14948,9:173,Neoplasms,"Malignant neoplasms, skin"
14949,9:173A,Neoplasms,"Malignant neoplasms, skin"
14950,9:173B,Neoplasms,"Malignant neoplasms, skin"
14951,9:173C,Neoplasms,"Malignant neoplasms, skin"
14952,9:173D,Neoplasms,"Malignant neoplasms, skin"
14953,9:173E,Neoplasms,"Malignant neoplasms, skin"
14954,9:173F,Neoplasms,"Malignant neoplasms, skin"
14955,9:173G,Neoplasms,"Malignant neoplasms, skin"
14956,9:173H,Neoplasms,"Malignant neoplasms, skin"
14957,9:173W,Neoplasms,"Malignant neoplasms, skin"
14958,9:173X,Neoplasms,"Malignant neoplasms, skin"
14959,9:209,Neoplasms,"Malignant neoplasms, skin"
14960,9:209D,Neoplasms,"Malignant neoplasms, skin"
14961,10:C81,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14962,10:C82,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14963,10:C83,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14964,10:C84,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14965,10:C85,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14966,10:C86,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14967,10:C88,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14968,10:C90,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14969,10:C91,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14970,10:C92,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14971,10:C93,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14972,10:C94,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14973,10:C95,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14974,10:C96,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14975,8:200,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14976,"8:200,0",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14977,"8:200,1",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14978,8:201,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14979,8:202,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14980,"8:202,0",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14981,"8:202,1",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14982,"8:202,2",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14983,"8:202,9",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14984,8:203,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14985,8:204,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14986,"8:204,0",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14987,"8:204,1",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14988,"8:204,9",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14989,8:205,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14990,"8:205,0",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14991,"8:205,1",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14992,"8:205,9",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14993,8:206,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14994,"8:206,0",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14995,"8:206,1",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14996,"8:206,9",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14997,8:207,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14998,"8:207,0",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
14999,"8:207,1",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15000,"8:207,2",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15001,"8:207,9",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15002,8:208,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15003,8:232,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15004,8:233,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15005,8:239,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15006,8:270,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15007,8:273,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15008,"8:273,8",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15009,8:275,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15010,"8:275,5",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15011,8:276,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15012,8:279,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15013,8:287,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15014,"8:287,2",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15015,"8:287,9",Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15016,9:200,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15017,9:200A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15018,9:200B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15019,9:200C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15020,9:200D,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15021,9:200E,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15022,9:200F,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15023,9:200G,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15024,9:200H,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15025,9:200W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15026,9:201,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15027,9:201A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15028,9:201B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15029,9:201C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15030,9:201E,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15031,9:201F,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15032,9:201G,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15033,9:201H,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15034,9:201X,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15035,9:202,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15036,9:202A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15037,9:202B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15038,9:202C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15039,9:202D,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15040,9:202E,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15041,9:202F,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15042,9:202G,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15043,9:202H,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15044,9:202W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15045,9:202X,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15046,9:203,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15047,9:203A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15048,9:203B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15049,9:203W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15050,9:204,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15051,9:204A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15052,9:204B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15053,9:204C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15054,9:204W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15055,9:204X,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15056,9:205,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15057,9:205A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15058,9:205B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15059,9:205C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15060,9:205D,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15061,9:205W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15062,9:205X,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15063,9:206,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15064,9:206A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15065,9:206B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15066,9:206C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15067,9:206W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15068,9:206X,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15069,9:207,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15070,9:207A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15071,9:207C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15072,9:207W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15073,9:208,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15074,9:208A,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15075,9:208B,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15076,9:208C,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15077,9:208W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15078,9:208X,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15079,9:238,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15080,9:238H,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15081,9:273,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15082,9:273D,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15083,9:277,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15084,9:277W,Neoplasms,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
15085,10:C64,Neoplasms,"Malignant neoplasms, urinary organs"
15086,10:C65,Neoplasms,"Malignant neoplasms, urinary organs"
15087,10:C66,Neoplasms,"Malignant neoplasms, urinary organs"
15088,10:C67,Neoplasms,"Malignant neoplasms, urinary organs"
15089,10:C68,Neoplasms,"Malignant neoplasms, urinary organs"
15090,8:188,Neoplasms,"Malignant neoplasms, urinary organs"
15091,8:189,Neoplasms,"Malignant neoplasms, urinary organs"
15092,"8:189,0",Neoplasms,"Malignant neoplasms, urinary organs"
15093,"8:189,1",Neoplasms,"Malignant neoplasms, urinary organs"
15094,"8:189,2",Neoplasms,"Malignant neoplasms, urinary organs"
15095,"8:189,9",Neoplasms,"Malignant neoplasms, urinary organs"
15096,9:188,Neoplasms,"Malignant neoplasms, urinary organs"
15097,9:188A,Neoplasms,"Malignant neoplasms, urinary organs"
15098,9:188B,Neoplasms,"Malignant neoplasms, urinary organs"
15099,9:188C,Neoplasms,"Malignant neoplasms, urinary organs"
15100,9:188D,Neoplasms,"Malignant neoplasms, urinary organs"
15101,9:188E,Neoplasms,"Malignant neoplasms, urinary organs"
15102,9:188F,Neoplasms,"Malignant neoplasms, urinary organs"
15103,9:188G,Neoplasms,"Malignant neoplasms, urinary organs"
15104,9:188H,Neoplasms,"Malignant neoplasms, urinary organs"
15105,9:188W,Neoplasms,"Malignant neoplasms, urinary organs"
15106,9:188X,Neoplasms,"Malignant neoplasms, urinary organs"
15107,9:189,Neoplasms,"Malignant neoplasms, urinary organs"
15108,9:189A,Neoplasms,"Malignant neoplasms, urinary organs"
15109,9:189B,Neoplasms,"Malignant neoplasms, urinary organs"
15110,9:189C,Neoplasms,"Malignant neoplasms, urinary organs"
15111,9:189D,Neoplasms,"Malignant neoplasms, urinary organs"
15112,9:189E,Neoplasms,"Malignant neoplasms, urinary organs"
15113,9:189W,Neoplasms,"Malignant neoplasms, urinary organs"
15114,9:189X,Neoplasms,"Malignant neoplasms, urinary organs"
15115,10:C7A,Neoplasms,Malignant neuroendocrine tumors
15116,8:151,Neoplasms,Malignant neuroendocrine tumors
15117,"8:151,9",Neoplasms,Malignant neuroendocrine tumors
15118,8:152,Neoplasms,Malignant neuroendocrine tumors
15119,"8:152,0",Neoplasms,Malignant neuroendocrine tumors
15120,"8:152,1",Neoplasms,Malignant neuroendocrine tumors
