,US UniICD,System,Description
26357,9:6391,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26358,9:6392,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26359,9:6393,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26360,9:6394,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26361,9:6395,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26362,9:6396,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26363,9:6398,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26364,9:6399,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
26365,10:O09,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26366,8:661,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26367,8:746,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26368,8:769,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26369,8:769.4,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26370,8:769.9,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26371,8:Y60,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26372,9:659,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26373,9:6594,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26374,9:65940,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26375,9:65941,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26376,9:65943,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26377,9:6595,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26378,9:65950,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26379,9:65951,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26380,9:65953,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26381,9:6596,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26382,9:65960,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26383,9:65961,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26384,9:65963,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26385,9:V23,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26386,9:V230,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26387,9:V231,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26388,9:V232,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26389,9:V233,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26390,9:V234,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26391,9:V2341,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26392,9:V2342,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26393,9:V2349,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26394,9:V235,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26395,9:V237,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26396,9:V238,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26397,9:V2381,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26398,9:V2382,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26399,9:V2383,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26400,9:V2384,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26401,9:V2385,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26402,9:V2386,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26403,9:V2389,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26404,9:V239,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
26405,10:B95,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26406,10:B96,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26407,10:B97,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26408,8:039,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26409,8:039.9,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26410,8:079,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26411,8:079.8,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26412,8:079.9,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26413,8:481,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26414,9:041,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26415,9:0410,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26416,9:04100,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26417,9:04101,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26418,9:04102,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26419,9:04103,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26420,9:04104,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26421,9:04105,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26422,9:04109,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26423,9:0411,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26424,9:04110,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26425,9:04111,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26426,9:04112,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26427,9:04119,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26428,9:0413,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26429,9:0414,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26430,9:04141,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26431,9:04142,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26432,9:04143,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26433,9:04149,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26434,9:0415,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26435,9:0416,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26436,9:0417,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26437,9:0418,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26438,9:04181,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26439,9:04182,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26440,9:04183,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26441,9:04184,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26442,9:04185,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26443,9:04186,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26444,9:04189,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26445,9:079,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26446,9:0790,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26447,9:0791,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26448,9:0792,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26449,9:0794,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26450,9:0795,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26451,9:07950,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26452,9:07951,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26453,9:07952,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26454,9:07953,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26455,9:07959,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26456,9:0796,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26457,9:0798,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26458,9:07982,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26459,9:07989,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26460,9:0799,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26461,9:07999,"Sequelae, and diseases classified elsewhere","Bacterial, viral and other infectious agents"
26462,10:B99,"Sequelae, and diseases classified elsewhere",Other infectious diseases
26463,8:136,"Sequelae, and diseases classified elsewhere",Other infectious diseases
26464,9:136,"Sequelae, and diseases classified elsewhere",Other infectious diseases
26465,9:1368,"Sequelae, and diseases classified elsewhere",Other infectious diseases
26466,9:1369,"Sequelae, and diseases classified elsewhere",Other infectious diseases
26467,10:B90,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26468,10:B91,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26469,10:B92,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26470,10:B94,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26471,8:019,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26472,8:019.0,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26473,8:019.1,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26474,8:019.2,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26475,8:019.6,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26476,8:019.9,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26477,8:044,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26478,8:066,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26479,8:077,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26480,8:136,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26481,9:137,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26482,9:1370,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26483,9:1371,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26484,9:1372,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26485,9:1373,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26486,9:1374,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26487,9:138,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26488,9:139,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26489,9:1390,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26490,9:1391,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26491,9:1398,"Sequelae, and diseases classified elsewhere",Sequelae of infectious and parasitic diseases
26492,10:R00,Symptoms and signs,Circulatory and respiratory systems
26493,10:R01,Symptoms and signs,Circulatory and respiratory systems
26494,10:R03,Symptoms and signs,Circulatory and respiratory systems
26495,10:R04,Symptoms and signs,Circulatory and respiratory systems
26496,10:R05,Symptoms and signs,Circulatory and respiratory systems
26497,10:R06,Symptoms and signs,Circulatory and respiratory systems
26498,10:R07,Symptoms and signs,Circulatory and respiratory systems
26499,10:R09,Symptoms and signs,Circulatory and respiratory systems
26500,8:306,Symptoms and signs,Circulatory and respiratory systems
26501,8:427,Symptoms and signs,Circulatory and respiratory systems
26502,8:427.9,Symptoms and signs,Circulatory and respiratory systems
26503,8:445,Symptoms and signs,Circulatory and respiratory systems
26504,8:458,Symptoms and signs,Circulatory and respiratory systems
26505,8:458.0,Symptoms and signs,Circulatory and respiratory systems
26506,8:458.9,Symptoms and signs,Circulatory and respiratory systems
26507,8:508,Symptoms and signs,Circulatory and respiratory systems
26508,8:508.9,Symptoms and signs,Circulatory and respiratory systems
26509,8:511,Symptoms and signs,Circulatory and respiratory systems
26510,8:511.0,Symptoms and signs,Circulatory and respiratory systems
26511,8:519,Symptoms and signs,Circulatory and respiratory systems
26512,8:519.9,Symptoms and signs,Circulatory and respiratory systems
26513,8:526,Symptoms and signs,Circulatory and respiratory systems
26514,8:526.9,Symptoms and signs,Circulatory and respiratory systems
26515,8:781,Symptoms and signs,Circulatory and respiratory systems
26516,8:782,Symptoms and signs,Circulatory and respiratory systems
26517,8:782.1,Symptoms and signs,Circulatory and respiratory systems
26518,8:782.2,Symptoms and signs,Circulatory and respiratory systems
26519,8:783,Symptoms and signs,Circulatory and respiratory systems
26520,8:783.0,Symptoms and signs,Circulatory and respiratory systems
26521,8:783.1,Symptoms and signs,Circulatory and respiratory systems
26522,8:783.2,Symptoms and signs,Circulatory and respiratory systems
26523,8:783.3,Symptoms and signs,Circulatory and respiratory systems
26524,8:783.4,Symptoms and signs,Circulatory and respiratory systems
26525,8:783.6,Symptoms and signs,Circulatory and respiratory systems
26526,8:783.7,Symptoms and signs,Circulatory and respiratory systems
26527,8:784,Symptoms and signs,Circulatory and respiratory systems
26528,8:784.6,Symptoms and signs,Circulatory and respiratory systems
26529,8:788,Symptoms and signs,Circulatory and respiratory systems
26530,8:788.9,Symptoms and signs,Circulatory and respiratory systems
26531,8:790,Symptoms and signs,Circulatory and respiratory systems
26532,8:791,Symptoms and signs,Circulatory and respiratory systems
26533,8:796,Symptoms and signs,Circulatory and respiratory systems
26534,8:796.0,Symptoms and signs,Circulatory and respiratory systems
26535,9:427,Symptoms and signs,Circulatory and respiratory systems
26536,9:4278,Symptoms and signs,Circulatory and respiratory systems
26537,9:42781,Symptoms and signs,Circulatory and respiratory systems
26538,9:42789,Symptoms and signs,Circulatory and respiratory systems
26539,9:478,Symptoms and signs,Circulatory and respiratory systems
26540,9:4781,Symptoms and signs,Circulatory and respiratory systems
26541,9:47819,Symptoms and signs,Circulatory and respiratory systems
26542,9:511,Symptoms and signs,Circulatory and respiratory systems
26543,9:5110,Symptoms and signs,Circulatory and respiratory systems
26544,9:784,Symptoms and signs,Circulatory and respiratory systems
26545,9:7841,Symptoms and signs,Circulatory and respiratory systems
26546,9:7847,Symptoms and signs,Circulatory and respiratory systems
26547,9:7848,Symptoms and signs,Circulatory and respiratory systems
26548,9:7849,Symptoms and signs,Circulatory and respiratory systems
26549,9:78491,Symptoms and signs,Circulatory and respiratory systems
26550,9:78499,Symptoms and signs,Circulatory and respiratory systems
26551,9:785,Symptoms and signs,Circulatory and respiratory systems
26552,9:7850,Symptoms and signs,Circulatory and respiratory systems
26553,9:7851,Symptoms and signs,Circulatory and respiratory systems
26554,9:7852,Symptoms and signs,Circulatory and respiratory systems
26555,9:7853,Symptoms and signs,Circulatory and respiratory systems
26556,9:7859,Symptoms and signs,Circulatory and respiratory systems
26557,9:786,Symptoms and signs,Circulatory and respiratory systems
26558,9:7860,Symptoms and signs,Circulatory and respiratory systems
26559,9:78600,Symptoms and signs,Circulatory and respiratory systems
26560,9:78601,Symptoms and signs,Circulatory and respiratory systems
26561,9:78602,Symptoms and signs,Circulatory and respiratory systems
26562,9:78603,Symptoms and signs,Circulatory and respiratory systems
26563,9:78604,Symptoms and signs,Circulatory and respiratory systems
26564,9:78605,Symptoms and signs,Circulatory and respiratory systems
26565,9:78606,Symptoms and signs,Circulatory and respiratory systems
26566,9:78607,Symptoms and signs,Circulatory and respiratory systems
26567,9:78609,Symptoms and signs,Circulatory and respiratory systems
26568,9:7861,Symptoms and signs,Circulatory and respiratory systems
26569,9:7862,Symptoms and signs,Circulatory and respiratory systems
26570,9:7863,Symptoms and signs,Circulatory and respiratory systems
26571,9:78630,Symptoms and signs,Circulatory and respiratory systems
26572,9:78631,Symptoms and signs,Circulatory and respiratory systems
26573,9:78639,Symptoms and signs,Circulatory and respiratory systems
26574,9:7864,Symptoms and signs,Circulatory and respiratory systems
26575,9:7865,Symptoms and signs,Circulatory and respiratory systems
26576,9:78650,Symptoms and signs,Circulatory and respiratory systems
26577,9:78651,Symptoms and signs,Circulatory and respiratory systems
26578,9:78652,Symptoms and signs,Circulatory and respiratory systems
26579,9:78659,Symptoms and signs,Circulatory and respiratory systems
26580,9:7867,Symptoms and signs,Circulatory and respiratory systems
26581,9:7868,Symptoms and signs,Circulatory and respiratory systems
26582,9:7869,Symptoms and signs,Circulatory and respiratory systems
26583,9:796,Symptoms and signs,Circulatory and respiratory systems
26584,9:7962,Symptoms and signs,Circulatory and respiratory systems
26585,9:7963,Symptoms and signs,Circulatory and respiratory systems
26586,9:799,Symptoms and signs,Circulatory and respiratory systems
26587,9:7990,Symptoms and signs,Circulatory and respiratory systems
26588,9:79901,Symptoms and signs,Circulatory and respiratory systems
26589,9:79902,Symptoms and signs,Circulatory and respiratory systems
26590,9:7991,Symptoms and signs,Circulatory and respiratory systems
26591,10:R40,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26592,10:R41,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26593,10:R42,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26594,10:R43,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26595,10:R44,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26596,10:R45,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26597,10:R46,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26598,8:260,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26599,8:299,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26600,8:300,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26601,8:300.9,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26602,8:301,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26603,8:301.8,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26604,8:305,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26605,8:306,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26606,8:306.3,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26607,8:306.9,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26608,8:307,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26609,8:344,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26610,8:377,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26611,8:378,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26612,8:378.9,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26613,8:387,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26614,8:733,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26615,8:738,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26616,8:780,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26617,8:780.0,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26618,8:780.5,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26619,8:780.7,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26620,8:781,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26621,8:781.0,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26622,8:781.6,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26623,8:781.8,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26624,8:782,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26625,8:784,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26626,8:787,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26627,8:788,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26628,8:788.9,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26629,8:790,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26630,8:790.0,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26631,8:794,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26632,8:796,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26633,8:796.0,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26634,8:796.2,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26635,8:796.9,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26636,8:E931,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26637,8:E934,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26638,8:N999,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26639,8:Y79,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26640,9:300,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26641,9:3009,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26642,9:307,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26643,9:3079,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26644,9:308,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26645,9:3089,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26646,9:368,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26647,9:3681,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26648,9:36816,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26649,9:780,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26650,9:7800,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26651,9:78001,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26652,9:78002,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26653,9:78003,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26654,9:78009,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26655,9:7801,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26656,9:7804,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26657,9:7809,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26658,9:78093,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26659,9:78095,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26660,9:78097,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26661,9:78099,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26662,9:781,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26663,9:7811,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26664,9:7818,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26665,9:797,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26666,9:799,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26667,9:7992,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26668,9:79921,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26669,9:79922,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26670,9:79923,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26671,9:79924,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26672,9:79925,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26673,9:79929,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26674,9:7995,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26675,9:79951,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26676,9:79952,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26677,9:79953,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26678,9:79954,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26679,9:79955,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26680,9:79959,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26681,9:7998,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26682,9:79989,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26683,9:V40,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26684,9:V403,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26685,9:V4039,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26686,9:V41,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26687,9:V415,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26688,9:V62,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26689,9:V628,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26690,9:V6284,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26691,9:V6285,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26692,9:V6289,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
26693,10:R10,Symptoms and signs,Digestive system and abdomen
26694,10:R11,Symptoms and signs,Digestive system and abdomen
26695,10:R12,Symptoms and signs,Digestive system and abdomen
26696,10:R13,Symptoms and signs,Digestive system and abdomen
26697,10:R14,Symptoms and signs,Digestive system and abdomen
26698,10:R15,Symptoms and signs,Digestive system and abdomen
26699,10:R16,Symptoms and signs,Digestive system and abdomen
26700,10:R17,Symptoms and signs,Digestive system and abdomen
26701,10:R18,Symptoms and signs,Digestive system and abdomen
26702,10:R19,Symptoms and signs,Digestive system and abdomen
26703,8:067,Symptoms and signs,Digestive system and abdomen
26704,8:079,Symptoms and signs,Digestive system and abdomen
26705,8:079.8,Symptoms and signs,Digestive system and abdomen
26706,8:099,Symptoms and signs,Digestive system and abdomen
26707,8:287,Symptoms and signs,Digestive system and abdomen
26708,8:306,Symptoms and signs,Digestive system and abdomen
26709,8:458,Symptoms and signs,Digestive system and abdomen
26710,8:508,Symptoms and signs,Digestive system and abdomen
26711,8:508.9,Symptoms and signs,Digestive system and abdomen
26712,8:526,Symptoms and signs,Digestive system and abdomen
26713,8:526.9,Symptoms and signs,Digestive system and abdomen
26714,8:536,Symptoms and signs,Digestive system and abdomen
26715,8:536.9,Symptoms and signs,Digestive system and abdomen
26716,8:568,Symptoms and signs,Digestive system and abdomen
26717,8:569,Symptoms and signs,Digestive system and abdomen
26718,8:569.3,Symptoms and signs,Digestive system and abdomen
26719,8:569.4,Symptoms and signs,Digestive system and abdomen
26720,8:569.9,Symptoms and signs,Digestive system and abdomen
26721,8:607,Symptoms and signs,Digestive system and abdomen
26722,8:607.9,Symptoms and signs,Digestive system and abdomen
26723,8:625,Symptoms and signs,Digestive system and abdomen
26724,8:626,Symptoms and signs,Digestive system and abdomen
26725,8:629,Symptoms and signs,Digestive system and abdomen
26726,8:629.9,Symptoms and signs,Digestive system and abdomen
26727,8:709,Symptoms and signs,Digestive system and abdomen
26728,8:781,Symptoms and signs,Digestive system and abdomen
26729,8:782,Symptoms and signs,Digestive system and abdomen
26730,8:783,Symptoms and signs,Digestive system and abdomen
26731,8:784,Symptoms and signs,Digestive system and abdomen
26732,8:784.1,Symptoms and signs,Digestive system and abdomen
26733,8:784.3,Symptoms and signs,Digestive system and abdomen
26734,8:784.4,Symptoms and signs,Digestive system and abdomen
26735,8:784.7,Symptoms and signs,Digestive system and abdomen
26736,8:785,Symptoms and signs,Digestive system and abdomen
26737,8:785.0,Symptoms and signs,Digestive system and abdomen
26738,8:785.1,Symptoms and signs,Digestive system and abdomen
26739,8:785.2,Symptoms and signs,Digestive system and abdomen
26740,8:785.3,Symptoms and signs,Digestive system and abdomen
26741,8:785.5,Symptoms and signs,Digestive system and abdomen
26742,8:785.6,Symptoms and signs,Digestive system and abdomen
26743,8:785.8,Symptoms and signs,Digestive system and abdomen
26744,8:786,Symptoms and signs,Digestive system and abdomen
