ICD10,System,Description
V09,External causes of morbidity and mortality,Accidents
V10,External causes of morbidity and mortality,Accidents
V11,External causes of morbidity and mortality,Accidents
V12,External causes of morbidity and mortality,Accidents
V13,External causes of morbidity and mortality,Accidents
V14,External causes of morbidity and mortality,Accidents
V15,External causes of morbidity and mortality,Accidents
V16,External causes of morbidity and mortality,Accidents
V17,External causes of morbidity and mortality,Accidents
V18,External causes of morbidity and mortality,Accidents
V19,External causes of morbidity and mortality,Accidents
V20,External causes of morbidity and mortality,Accidents
V21,External causes of morbidity and mortality,Accidents
V22,External causes of morbidity and mortality,Accidents
V23,External causes of morbidity and mortality,Accidents
V24,External causes of morbidity and mortality,Accidents
V25,External causes of morbidity and mortality,Accidents
V26,External causes of morbidity and mortality,Accidents
V27,External causes of morbidity and mortality,Accidents
V28,External causes of morbidity and mortality,Accidents
V29,External causes of morbidity and mortality,Accidents
V30,External causes of morbidity and mortality,Accidents
V31,External causes of morbidity and mortality,Accidents
V32,External causes of morbidity and mortality,Accidents
V33,External causes of morbidity and mortality,Accidents
V34,External causes of morbidity and mortality,Accidents
V35,External causes of morbidity and mortality,Accidents
V36,External causes of morbidity and mortality,Accidents
V37,External causes of morbidity and mortality,Accidents
V38,External causes of morbidity and mortality,Accidents
V39,External causes of morbidity and mortality,Accidents
V40,External causes of morbidity and mortality,Accidents
V41,External causes of morbidity and mortality,Accidents
V42,External causes of morbidity and mortality,Accidents
V43,External causes of morbidity and mortality,Accidents
V44,External causes of morbidity and mortality,Accidents
V45,External causes of morbidity and mortality,Accidents
V46,External causes of morbidity and mortality,Accidents
V47,External causes of morbidity and mortality,Accidents
V48,External causes of morbidity and mortality,Accidents
V49,External causes of morbidity and mortality,Accidents
V50,External causes of morbidity and mortality,Accidents
V51,External causes of morbidity and mortality,Accidents
V52,External causes of morbidity and mortality,Accidents
V53,External causes of morbidity and mortality,Accidents
V54,External causes of morbidity and mortality,Accidents
V55,External causes of morbidity and mortality,Accidents
V56,External causes of morbidity and mortality,Accidents
V57,External causes of morbidity and mortality,Accidents
V58,External causes of morbidity and mortality,Accidents
V59,External causes of morbidity and mortality,Accidents
V60,External causes of morbidity and mortality,Accidents
V61,External causes of morbidity and mortality,Accidents
V62,External causes of morbidity and mortality,Accidents
V63,External causes of morbidity and mortality,Accidents
V64,External causes of morbidity and mortality,Accidents
V65,External causes of morbidity and mortality,Accidents
V66,External causes of morbidity and mortality,Accidents
V67,External causes of morbidity and mortality,Accidents
V68,External causes of morbidity and mortality,Accidents
V69,External causes of morbidity and mortality,Accidents
V70,External causes of morbidity and mortality,Accidents
V71,External causes of morbidity and mortality,Accidents
V72,External causes of morbidity and mortality,Accidents
V73,External causes of morbidity and mortality,Accidents
V74,External causes of morbidity and mortality,Accidents
V75,External causes of morbidity and mortality,Accidents
V76,External causes of morbidity and mortality,Accidents
V77,External causes of morbidity and mortality,Accidents
V78,External causes of morbidity and mortality,Accidents
V79,External causes of morbidity and mortality,Accidents
V80,External causes of morbidity and mortality,Accidents
V81,External causes of morbidity and mortality,Accidents
V82,External causes of morbidity and mortality,Accidents
V83,External causes of morbidity and mortality,Accidents
V84,External causes of morbidity and mortality,Accidents
V85,External causes of morbidity and mortality,Accidents
V86,External causes of morbidity and mortality,Accidents
V87,External causes of morbidity and mortality,Accidents
V88,External causes of morbidity and mortality,Accidents
V89,External causes of morbidity and mortality,Accidents
V90,External causes of morbidity and mortality,Accidents
V91,External causes of morbidity and mortality,Accidents
V92,External causes of morbidity and mortality,Accidents
V93,External causes of morbidity and mortality,Accidents
V94,External causes of morbidity and mortality,Accidents
V95,External causes of morbidity and mortality,Accidents
V96,External causes of morbidity and mortality,Accidents
V97,External causes of morbidity and mortality,Accidents
V98,External causes of morbidity and mortality,Accidents
V99,External causes of morbidity and mortality,Accidents
W00,External causes of morbidity and mortality,Accidents
W01,External causes of morbidity and mortality,Accidents
W02,External causes of morbidity and mortality,Accidents
W03,External causes of morbidity and mortality,Accidents
W04,External causes of morbidity and mortality,Accidents
W05,External causes of morbidity and mortality,Accidents
W06,External causes of morbidity and mortality,Accidents
W07,External causes of morbidity and mortality,Accidents
W08,External causes of morbidity and mortality,Accidents
W09,External causes of morbidity and mortality,Accidents
W10,External causes of morbidity and mortality,Accidents
W11,External causes of morbidity and mortality,Accidents
W12,External causes of morbidity and mortality,Accidents
W13,External causes of morbidity and mortality,Accidents
W14,External causes of morbidity and mortality,Accidents
W15,External causes of morbidity and mortality,Accidents
W16,External causes of morbidity and mortality,Accidents
W17,External causes of morbidity and mortality,Accidents
W18,External causes of morbidity and mortality,Accidents
W19,External causes of morbidity and mortality,Accidents
W20,External causes of morbidity and mortality,Accidents
W21,External causes of morbidity and mortality,Accidents
W22,External causes of morbidity and mortality,Accidents
W23,External causes of morbidity and mortality,Accidents
W24,External causes of morbidity and mortality,Accidents
W25,External causes of morbidity and mortality,Accidents
W26,External causes of morbidity and mortality,Accidents
W27,External causes of morbidity and mortality,Accidents
W28,External causes of morbidity and mortality,Accidents
W29,External causes of morbidity and mortality,Accidents
W30,External causes of morbidity and mortality,Accidents
W31,External causes of morbidity and mortality,Accidents
W32,External causes of morbidity and mortality,Accidents
W33,External causes of morbidity and mortality,Accidents
W34,External causes of morbidity and mortality,Accidents
W35,External causes of morbidity and mortality,Accidents
W36,External causes of morbidity and mortality,Accidents
W37,External causes of morbidity and mortality,Accidents
W38,External causes of morbidity and mortality,Accidents
W39,External causes of morbidity and mortality,Accidents
W40,External causes of morbidity and mortality,Accidents
W41,External causes of morbidity and mortality,Accidents
W42,External causes of morbidity and mortality,Accidents
W43,External causes of morbidity and mortality,Accidents
W44,External causes of morbidity and mortality,Accidents
W45,External causes of morbidity and mortality,Accidents
W46,External causes of morbidity and mortality,Accidents
W47,External causes of morbidity and mortality,Accidents
W48,External causes of morbidity and mortality,Accidents
W49,External causes of morbidity and mortality,Accidents
W50,External causes of morbidity and mortality,Accidents
W51,External causes of morbidity and mortality,Accidents
W52,External causes of morbidity and mortality,Accidents
W53,External causes of morbidity and mortality,Accidents
W54,External causes of morbidity and mortality,Accidents
W55,External causes of morbidity and mortality,Accidents
W56,External causes of morbidity and mortality,Accidents
W57,External causes of morbidity and mortality,Accidents
W58,External causes of morbidity and mortality,Accidents
W59,External causes of morbidity and mortality,Accidents
W60,External causes of morbidity and mortality,Accidents
W61,External causes of morbidity and mortality,Accidents
W62,External causes of morbidity and mortality,Accidents
W63,External causes of morbidity and mortality,Accidents
W64,External causes of morbidity and mortality,Accidents
W65,External causes of morbidity and mortality,Accidents
W66,External causes of morbidity and mortality,Accidents
W67,External causes of morbidity and mortality,Accidents
W68,External causes of morbidity and mortality,Accidents
W69,External causes of morbidity and mortality,Accidents
W70,External causes of morbidity and mortality,Accidents
W71,External causes of morbidity and mortality,Accidents
W72,External causes of morbidity and mortality,Accidents
W73,External causes of morbidity and mortality,Accidents
W74,External causes of morbidity and mortality,Accidents
W75,External causes of morbidity and mortality,Accidents
W76,External causes of morbidity and mortality,Accidents
W77,External causes of morbidity and mortality,Accidents
W78,External causes of morbidity and mortality,Accidents
W79,External causes of morbidity and mortality,Accidents
W80,External causes of morbidity and mortality,Accidents
W81,External causes of morbidity and mortality,Accidents
W82,External causes of morbidity and mortality,Accidents
W83,External causes of morbidity and mortality,Accidents
W84,External causes of morbidity and mortality,Accidents
W85,External causes of morbidity and mortality,Accidents
W86,External causes of morbidity and mortality,Accidents
W87,External causes of morbidity and mortality,Accidents
W88,External causes of morbidity and mortality,Accidents
W89,External causes of morbidity and mortality,Accidents
W90,External causes of morbidity and mortality,Accidents
W91,External causes of morbidity and mortality,Accidents
W92,External causes of morbidity and mortality,Accidents
W93,External causes of morbidity and mortality,Accidents
W94,External causes of morbidity and mortality,Accidents
W95,External causes of morbidity and mortality,Accidents
W96,External causes of morbidity and mortality,Accidents
W97,External causes of morbidity and mortality,Accidents
W98,External causes of morbidity and mortality,Accidents
W99,External causes of morbidity and mortality,Accidents
X00,External causes of morbidity and mortality,Accidents
X01,External causes of morbidity and mortality,Accidents
X02,External causes of morbidity and mortality,Accidents
X03,External causes of morbidity and mortality,Accidents
X04,External causes of morbidity and mortality,Accidents
X05,External causes of morbidity and mortality,Accidents
X06,External causes of morbidity and mortality,Accidents
X07,External causes of morbidity and mortality,Accidents
X08,External causes of morbidity and mortality,Accidents
X09,External causes of morbidity and mortality,Accidents
X10,External causes of morbidity and mortality,Accidents
X11,External causes of morbidity and mortality,Accidents
X12,External causes of morbidity and mortality,Accidents
X13,External causes of morbidity and mortality,Accidents
X14,External causes of morbidity and mortality,Accidents
X15,External causes of morbidity and mortality,Accidents
X16,External causes of morbidity and mortality,Accidents
X17,External causes of morbidity and mortality,Accidents
X18,External causes of morbidity and mortality,Accidents
X19,External causes of morbidity and mortality,Accidents
X20,External causes of morbidity and mortality,Accidents
X21,External causes of morbidity and mortality,Accidents
X22,External causes of morbidity and mortality,Accidents
X23,External causes of morbidity and mortality,Accidents
X24,External causes of morbidity and mortality,Accidents
X25,External causes of morbidity and mortality,Accidents
X26,External causes of morbidity and mortality,Accidents
X27,External causes of morbidity and mortality,Accidents
X28,External causes of morbidity and mortality,Accidents
X29,External causes of morbidity and mortality,Accidents
X30,External causes of morbidity and mortality,Accidents
X31,External causes of morbidity and mortality,Accidents
X32,External causes of morbidity and mortality,Accidents
X33,External causes of morbidity and mortality,Accidents
X34,External causes of morbidity and mortality,Accidents
X35,External causes of morbidity and mortality,Accidents
X36,External causes of morbidity and mortality,Accidents
X37,External causes of morbidity and mortality,Accidents
X38,External causes of morbidity and mortality,Accidents
X39,External causes of morbidity and mortality,Accidents
X40,External causes of morbidity and mortality,Accidents
X41,External causes of morbidity and mortality,Accidents
X42,External causes of morbidity and mortality,Accidents
X43,External causes of morbidity and mortality,Accidents
X44,External causes of morbidity and mortality,Accidents
X45,External causes of morbidity and mortality,Accidents
X46,External causes of morbidity and mortality,Accidents
X47,External causes of morbidity and mortality,Accidents
X48,External causes of morbidity and mortality,Accidents
X49,External causes of morbidity and mortality,Accidents
X50,External causes of morbidity and mortality,Accidents
X51,External causes of morbidity and mortality,Accidents
X52,External causes of morbidity and mortality,Accidents
X53,External causes of morbidity and mortality,Accidents
X54,External causes of morbidity and mortality,Accidents
X55,External causes of morbidity and mortality,Accidents
X56,External causes of morbidity and mortality,Accidents
X57,External causes of morbidity and mortality,Accidents
X58,External causes of morbidity and mortality,Accidents
X59,External causes of morbidity and mortality,Accidents
X60,External causes of morbidity and mortality,Intentional self-harm
X61,External causes of morbidity and mortality,Intentional self-harm
X62,External causes of morbidity and mortality,Intentional self-harm
X63,External causes of morbidity and mortality,Intentional self-harm
X64,External causes of morbidity and mortality,Intentional self-harm
X65,External causes of morbidity and mortality,Intentional self-harm
X66,External causes of morbidity and mortality,Intentional self-harm
X67,External causes of morbidity and mortality,Intentional self-harm
X68,External causes of morbidity and mortality,Intentional self-harm
X69,External causes of morbidity and mortality,Intentional self-harm
X70,External causes of morbidity and mortality,Intentional self-harm
X71,External causes of morbidity and mortality,Intentional self-harm
X72,External causes of morbidity and mortality,Intentional self-harm
X73,External causes of morbidity and mortality,Intentional self-harm
X74,External causes of morbidity and mortality,Intentional self-harm
X75,External causes of morbidity and mortality,Intentional self-harm
X76,External causes of morbidity and mortality,Intentional self-harm
X77,External causes of morbidity and mortality,Intentional self-harm
X78,External causes of morbidity and mortality,Intentional self-harm
X79,External causes of morbidity and mortality,Intentional self-harm
X80,External causes of morbidity and mortality,Intentional self-harm
X81,External causes of morbidity and mortality,Intentional self-harm
X82,External causes of morbidity and mortality,Intentional self-harm
X83,External causes of morbidity and mortality,Intentional self-harm
X84,External causes of morbidity and mortality,Intentional self-harm
X85,External causes of morbidity and mortality,Assault
X86,External causes of morbidity and mortality,Assault
X87,External causes of morbidity and mortality,Assault
X88,External causes of morbidity and mortality,Assault
X89,External causes of morbidity and mortality,Assault
X90,External causes of morbidity and mortality,Assault
X91,External causes of morbidity and mortality,Assault
X92,External causes of morbidity and mortality,Assault
X93,External causes of morbidity and mortality,Assault
X94,External causes of morbidity and mortality,Assault
X95,External causes of morbidity and mortality,Assault
X96,External causes of morbidity and mortality,Assault
X97,External causes of morbidity and mortality,Assault
X98,External causes of morbidity and mortality,Assault
X99,External causes of morbidity and mortality,Assault
Y00,External causes of morbidity and mortality,Assault
Y01,External causes of morbidity and mortality,Assault
Y02,External causes of morbidity and mortality,Assault
Y03,External causes of morbidity and mortality,Assault
Y04,External causes of morbidity and mortality,Assault
Y05,External causes of morbidity and mortality,Assault
Y06,External causes of morbidity and mortality,Assault
Y07,External causes of morbidity and mortality,Assault
Y08,External causes of morbidity and mortality,Assault
Y09,External causes of morbidity and mortality,Assault
Y10,External causes of morbidity and mortality,Event of undetermined intent
Y11,External causes of morbidity and mortality,Event of undetermined intent
Y12,External causes of morbidity and mortality,Event of undetermined intent
Y13,External causes of morbidity and mortality,Event of undetermined intent
Y14,External causes of morbidity and mortality,Event of undetermined intent
Y15,External causes of morbidity and mortality,Event of undetermined intent
Y16,External causes of morbidity and mortality,Event of undetermined intent
Y17,External causes of morbidity and mortality,Event of undetermined intent
Y18,External causes of morbidity and mortality,Event of undetermined intent
Y19,External causes of morbidity and mortality,Event of undetermined intent
Y20,External causes of morbidity and mortality,Event of undetermined intent
Y21,External causes of morbidity and mortality,Event of undetermined intent
Y22,External causes of morbidity and mortality,Event of undetermined intent
Y23,External causes of morbidity and mortality,Event of undetermined intent
Y24,External causes of morbidity and mortality,Event of undetermined intent
Y25,External causes of morbidity and mortality,Event of undetermined intent
Y26,External causes of morbidity and mortality,Event of undetermined intent
Y27,External causes of morbidity and mortality,Event of undetermined intent
Y28,External causes of morbidity and mortality,Event of undetermined intent
Y29,External causes of morbidity and mortality,Event of undetermined intent
Y30,External causes of morbidity and mortality,Event of undetermined intent
Y31,External causes of morbidity and mortality,Event of undetermined intent
Y32,External causes of morbidity and mortality,Event of undetermined intent
Y33,External causes of morbidity and mortality,Event of undetermined intent
Y34,External causes of morbidity and mortality,Event of undetermined intent
Y35,External causes of morbidity and mortality,"Legal intervention, operations of war, military operations, and terrorism"
Y36,External causes of morbidity and mortality,"Legal intervention, operations of war, military operations, and terrorism"
Y37,External causes of morbidity and mortality,"Legal intervention, operations of war, military operations, and terrorism"
Y38,External causes of morbidity and mortality,"Legal intervention, operations of war, military operations, and terrorism"
Y40,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y41,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y42,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y43,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y44,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y45,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y46,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y47,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y48,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y49,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y50,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y51,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y52,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y53,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y54,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y55,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y56,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y57,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y58,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y59,External causes of morbidity and mortality,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Y60,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y61,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y62,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y63,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y64,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y65,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y66,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y67,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y68,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y69,External causes of morbidity and mortality,Misadventures to patients during surgical and medical care
Y70,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y71,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y72,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y73,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y74,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y75,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y76,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y77,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y78,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y79,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y80,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y81,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y82,External causes of morbidity and mortality,Medical devices associated with adverse incidents in diagnostic and therapeutic use
Y83,External causes of morbidity and mortality,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y84,External causes of morbidity and mortality,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y85,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality
Y86,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality
Y87,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality
Y88,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality
Y89,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality
Y90,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y91,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y92,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y93,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y94,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y95,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y96,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y97,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y98,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Y99,External causes of morbidity and mortality,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Z00,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z01,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z02,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z03,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z04,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z05,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z06,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z07,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z08,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z09,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z10,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z11,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z12,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z13,External causes of morbidity and mortality,Persons encountering health services for examination and investigation
Z14,External causes of morbidity and mortality,Genetic carrier and genetic susceptibility to disease
Z15,External causes of morbidity and mortality,Genetic carrier and genetic susceptibility to disease
Z16,External causes of morbidity and mortality,Resistance to antimicrobial drugs
Z17,External causes of morbidity and mortality,Estrogen receptor status
Z18,External causes of morbidity and mortality,Retained foreign body fragments
Z19,External causes of morbidity and mortality,Hormone sensitivity malignancy status
Z20,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z21,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z22,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z23,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z24,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z25,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z26,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z27,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z28,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z29,External causes of morbidity and mortality,Persons with potential health hazards related to communicable diseases
Z30,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z31,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z32,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z33,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z34,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z35,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z36,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z37,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z38,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z39,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
Z40,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z41,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z42,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z43,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z44,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z45,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z46,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z47,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z48,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z49,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z50,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z51,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z52,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z53,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z54,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
Z55,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z56,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z57,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z58,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z59,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z60,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z61,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z62,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z63,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z64,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z65,External causes of morbidity and mortality,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z66,External causes of morbidity and mortality,Do not resuscitate status
Z67,External causes of morbidity and mortality,Blood type
Z68,External causes of morbidity and mortality,Body mass index (BMI)
Z69,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z70,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z71,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z72,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z73,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z74,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z75,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z76,External causes of morbidity and mortality,Persons encountering health services in other circumstances
Z77,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z78,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z79,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z80,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z81,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z82,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z83,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z84,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z85,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z86,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z87,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z88,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z89,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z90,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z91,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z92,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z93,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z94,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z95,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z96,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z97,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z98,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z99,External causes of morbidity and mortality,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
U00,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
U01,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
U02,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
U03,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
U04,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
U05,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
U06,Codes for special purposes,Provisional assignment of new diseases of uncertain etiology or emergency use
